typo,correct
dwf,def
bef,def
dqf,def
dfe,def
dcef,def
df,def
udef,def
ddf,def
dyf,def
drf,def
defv,def
eef,def
deef,def
defd,def
inpt,input
Input,input
inpput,input
inpu,input
ionput,input
inputy,input
inpuT,input
inpur,input
inpuut,input
inhput,input
inpuht,input
inpht,input
inputg,input
inputt,input
inbput,input
intup,input
tnpui,input
inupt,input
inpuyt,input
inptu,input
iuput,input
inut,input
iyput,input
niput,input
pniut,input
inout,input
innput,input
inpujt,input
ipnut,input
inputh,input
iupnt,input
inplut,input
inpUt,input
unput,input
inpgt,input
iinput,input
rinput,input
iput,input
infut,input
nput,input
inbt,int
nit,int
mnt,int
injt,int
itt,int
hint,int
iNt,int
inw,int
inz,int
inr,int
iat,int
intg,int
ont,int
inc,int
inp,int
iint,int
iny,int
it,int
inb,int
inT,int
inf,int
nt,int
dnt,int
intt,int
unt,int
ant,int
innt,int
dint,int
itn,int
jnt,int
knt,int
Int,int
ijt,int
ing,int
tni,int
idt,int
inv,int
inty,int
intf,int
in,int
fkoat,float
floaat,float
floaT,float
flpoat,float
floaty,float
faolt,float
fljat,float
floatd,float
ffloat,float
flooat,float
floa,float
floatf,float
fLoat,float
gloat,float
flovt,float
aloft,float
floazt,float
tloaf,float
fxoat,float
loat,float
floar,float
flot,float
fooat,float
faoat,float
fpoat,float
flolat,float
flota,float
flOat,float
lfoat,float
floaf,float
floay,float
floatt,float
flaot,float
foat,float
flloat,float
floAt,float
Float,float
floft,float
xloat,float
flat,float
sts,str
sr,str
srt,str
stR,str
sttr,str
stfr,str
strd,str
rtr,str
std,str
etr,str
sgr,str
stj,str
xtr,str
vtr,str
tr,str
spr,str
sxtr,str
tsr,str
slr,str
st,str
srr,str
wtr,str
atr,str
cstr,str
sfr,str
syr,str
ctr,str
rts,str
ste,str
vstr,str
ostr,str
gtr,str
swtr,str
sir,str
strr,str
stt,str
Str,str
strt,str
sTr,str
sstr,str
Tmue,True
TRue,True
rTue,True
Trus,True
TFrue,True
Trfue,True
TruE,True
TrUe,True
Truee,True
Tre,True
Truj,True
TTrue,True
rue,True
Tiue,True
eruT,True
Trhe,True
Treu,True
Tru,True
erue,True
Trpe,True
Truie,True
zrue,True
urTe,True
Tue,True
Truje,True
Trur,True
Trud,True
Truc,True
Trtue,True
TGrue,True
Ttue,True
Treue,True
Truew,True
Ture,True
true,True
Twue,True
vTrue,True
Trie,True
Truue,True
Trul,True
Fslse,False
Flse,False
Falsi,False
Falsee,False
Falsed,False
Falde,False
Falee,False
FFalse,False
Fqlse,False
Faslse,False
FValse,False
Falswe,False
Falae,False
Fakse,False
Falsr,False
aFalse,False
Felsa,False
Fawlse,False
Falsse,False
Fasle,False
Fase,False
laFse,False
FaLse,False
Falme,False
aFlse,False
Fales,False
Fals,False
FalSe,False
FGalse,False
Falses,False
Falsze,False
FalsE,False
Fylse,False
false,False
Frlse,False
Fale,False
Falqe,False
Faose,False
Fslae,False
Fapse,False
Nonje,None
Nqne,None
Nonee,None
Npne,None
Nonne,None
Noe,None
kNone,None
Nond,None
Nonn,None
Mone,None
Noke,None
wNone,None
none,None
Nne,None
Nonme,None
NNone,None
one,None
qone,None
Noine,None
Nlne,None
Nmne,None
Nnoe,None
Non,None
Nokne,None
NoNe,None
NBone,None
Noen,None
zNone,None
Noone,None
sone,None
NOne,None
noNe,None
Nonbe,None
Nbne,None
Neno,None
oNne,None
Nones,None
NonE,None
Nobe,None
Nnne,None
annd,and
cnd,and
aand,and
andr,and
andx,and
anf,and
ahd,and
andm,and
anbd,and
nad,and
gnd,and
an,and
adn,and
dna,and
bnd,and
aznd,and
And,and
ad,and
znd,and
andd,and
andk,and
anz,and
amd,and
andc,and
ajd,and
snd,and
aNd,and
anjd,and
ant,and
vand,and
anD,and
anc,and
anhd,and
nd,and
ands,and
asnd,and
azd,and
ane,and
qnd,and
sand,and
okr,or
of,or
ir,or
ore,or
r,or
ou,or
oj,or
pr,or
ur,or
ror,or
oe,or
ro,or
xor,or
orr,or
oR,or
orj,or
om,or
aor,or
bor,or
orf,or
oir,or
ort,or
lr,or
oor,or
ox,or
yr,or
oo,or
tor,or
cr,or
oi,or
o,or
ord,or
op,or
oa,or
opr,or
jr,or
yor,or
ot,or
Or,or
kr,or
lne,len
lsn,len
hlen,len
ilen,len
en,len
een,len
pen,len
eln,len
lew,len
ldn,len
lej,len
lern,len
lem,len
den,len
jlen,len
leb,len
loen,len
yen,len
lEn,len
lwn,len
lpen,len
lenn,len
Len,len
ln,len
lbn,len
lec,len
lewn,len
lxn,len
leen,len
le,len
llen,len
lnn,len
lenb,len
nel,len
lesn,len
let,len
ven,len
leN,len
lzn,len
lez,len
ranges,range
Range,range
rangk,range
raange,range
rangbe,range
arnge,range
ranze,range
rAnge,range
ranmge,range
rane,range
rtange,range
eangr,range
rgnae,range
rqnge,range
rnage,range
raneg,range
rrange,range
rangve,range
rangee,range
rage,range
mrange,range
ragne,range
ravge,range
ranGe,range
rwnge,range
rnge,range
rangge,range
ranke,range
rangE,range
rang,range
rannge,range
ranhe,range
krange,range
wrange,range
rabge,range
ranbge,range
raNge,range
raegn,range
narge,range
rangr,range
cbreak,break
rbeak,break
bReak,break
arebk,break
bream,break
breka,break
beak,break
brwak,break
brak,break
braek,break
breakb,break
hreak,break
bfeak,break
kreab,break
brerak,break
byeak,break
bbreak,break
breeak,break
bhreak,break
brea,break
Break,break
breakj,break
erbak,break
brek,break
breax,break
beeak,break
breaj,break
berak,break
qreak,break
breaK,break
breAk,break
breac,break
brrak,break
breai,break
breal,break
brsak,break
breakk,break
bteak,break
reak,break
breaak,break
continuE,continue
contihue,continue
conttinue,continue
cfontinue,continue
conntinue,continue
contionue,continue
coninue,continue
ckntinue,continue
noctinue,continue
contiNue,continue
contiune,continue
continjue,continue
continnue,continue
continuee,continue
contnue,continue
contiue,continue
ontinue,continue
toncinue,continue
cjntinue,continue
cOntinue,continue
clntinue,continue
cxontinue,continue
continues,continue
contniue,continue
cxntinue,continue
coNtinue,continue
ccontinue,continue
costinue,continue
cnotinue,continue
contineu,continue
continje,continue
contiinue,continue
continuu,continue
contjnue,continue
copntinue,continue
continUe,continue
cohtinue,continue
conjtinue,continue
contginue,continue
cintinue,continue
il,is
ts,is
ise,is
ir,is
ks,is
iss,is
iis,is
ius,is
isr,is
ix,is
sis,is
ls,is
i,is
iw,is
isx,is
gis,is
isw,is
ih,is
yis,is
isd,is
iks,is
ais,is
iz,is
si,is
vis,is
iy,is
os,is
ie,is
id,is
isl,is
ios,is
bs,is
s,is
iS,is
Is,is
xs,is
us,is
ms,is
hs,is
js,is
gin,in
il,in
inj,in
ikn,in
cn,in
jin,in
ig,in
n,in
In,in
ein,in
kn,in
nn,in
pn,in
win,in
un,in
ia,in
i,in
on,in
tin,in
it,in
kin,in
iun,in
iin,in
iN,in
inn,in
ln,in
ini,in
ib,in
ni,in
im,in
inm,in
ie,in
iu,in
xn,in
yn,in
ij,in
jn,in
io,in
if,in
oin,in
qot,not
noT,not
nOt,not
notf,not
knot,not
notr,not
hot,not
nof,not
nopt,not
xnot,not
uot,not
ont,not
noot,not
nog,not
ton,not
got,not
inot,not
eot,not
nott,not
notg,not
nt,not
nto,not
noit,not
nokt,not
noa,not
noq,not
oot,not
njot,not
nor,not
noy,not
jot,not
xot,not
no,not
sot,not
nnot,not
nolt,not
bnot,not
ot,not
mot,not
nat,not
trr,try
trey,try
tryh,try
ry,try
tdy,try
trry,try
htry,try
twy,try
tyr,try
tgry,try
ttry,try
tr,try
tryg,try
trt,try
ctry,try
tzy,try
xtry,try
tRy,try
tryo,try
tqy,try
trf,try
yry,try
fry,try
tryy,try
trv,try
tru,try
Try,try
jtry,try
rry,try
gry,try
tty,try
tryu,try
tey,try
rty,try
trg,try
trY,try
tfry,try
tly,try
ty,try
yrt,try
excext,except
excewpt,except
xcept,except
vxcept,except
ezcept,except
execpt,except
excEpt,except
Except,except
excePt,except
exxcept,except
excekt,except
rxcept,except
excep,except
ewxcept,except
edcept,except
exfept,except
ecept,except
eexcept,except
sxcept,except
eqcept,except
excpet,except
exept,except
kxcept,except
edxcept,except
exccept,except
excerpt,except
oexcept,except
exceppt,except
ecxept,except
exceplt,except
txcepe,except
excepth,except
excet,except
eXcept,except
excetp,except
excepg,except
excepk,except
excepT,except
exeept,except
exceept,except
fianlly,finally
funally,finally
finAlly,finally
finaslly,finally
finaoly,finally
finlaly,finally
finaally,finally
finclly,finally
ffinally,finally
fjnally,finally
finallyh,finally
fially,finally
finallyy,finally
finwlly,finally
Finally,finally
finallu,finally
finalpy,finally
fnially,finally
fiNally,finally
finallY,finally
finnally,finally
finazly,finally
finaloly,finally
finallg,finally
finaLly,finally
fInally,finally
finaloy,finally
fvinally,finally
finallyq,finally
finaly,finally
filanly,finally
finakly,finally
fanilly,finally
finayll,finally
fimally,finally
finlly,finally
fdinally,finally
finall,finally
ifnally,finally
finallyu,finally
clsas,class
clacs,class
clars,class
csasl,class
cLass,class
clasS,class
classz,class
lcass,class
clasi,class
cass,class
clasb,class
cclass,class
clpass,class
cliss,class
clas,class
clasas,class
Class,class
claqs,class
cllass,class
classs,class
cless,class
classd,class
coass,class
claass,class
classr,class
classu,class
cxlass,class
clasws,class
claqss,class
claszs,class
lass,class
classm,class
cpass,class
cbass,class
classw,class
cvlass,class
calss,class
hlass,class
clasa,class
classo,class
ompirt,import
importu,import
iport,import
imPort,import
imkport,import
irpomt,import
Import,import
mport,import
impoort,import
ikmport,import
impoft,import
impprt,import
impOrt,import
ibport,import
impotr,import
impart,import
imoprt,import
improt,import
omport,import
imporT,import
impoprt,import
iMport,import
iyport,import
iopmrt,import
imfort,import
imprt,import
impoet,import
imjport,import
pmiort,import
miport,import
imporg,import
imort,import
imiort,import
implort,import
imporrt,import
bmport,import
rmpoit,import
imtorp,import
ipmort,import
impor,import
From,from
fmor,from
froom,from
fromm,from
fro,from
ofrom,from
ufrom,from
frdom,from
trom,from
form,from
frim,from
rfom,from
pfrom,from
frm,from
frob,from
fRom,from
froj,from
frmo,from
fdrom,from
vrom,from
frkm,from
ffrom,from
rom,from
mrof,from
fom,from
frrom,from
froM,from
ftrom,from
sfrom,from
frok,from
frnm,from
feom,from
froim,from
frokm,from
drom,from
frOm,from
freom,from
fron,from
orfm,from
rrom,from
zs,as
aw,as
ase,as
As,as
ay,as
ax,as
a,as
ws,as
aqs,as
ac,as
cs,as
aj,as
asz,as
af,as
asx,as
sa,as
ps,as
asd,as
azs,as
ss,as
aws,as
ab,as
das,as
fs,as
aS,as
ass,as
al,as
mas,as
aq,as
ap,as
qs,as
ae,as
s,as
ar,as
aas,as
xs,as
asa,as
fas,as
vas,as
yas,as
wwith,with
wiyh,with
wtih,with
withu,with
weith,with
wiuth,with
wgth,with
wity,with
wityh,with
yith,with
witgh,with
wjth,with
wit,with
wifh,with
withg,with
wih,with
witH,with
witth,with
wilh,with
wkth,with
iwth,with
witrh,with
aith,with
wiith,with
wiTh,with
wioth,with
whti,with
wivh,with
ith,with
withy,with
wth,with
wiht,with
withh,with
withr,with
hitw,with
qith,with
With,with
bwith,with
cith,with
witt,with
lamjbda,lambda
labda,lambda
lamba,lambda
almbda,lambda
lambdda,lambda
ladbma,lambda
laambda,lambda
lwmbda,lambda
lambka,lambda
lambad,lambda
lymbda,lambda
lambvda,lambda
lambdA,lambda
lambDa,lambda
lambhda,lambda
lambd,lambda
lmabda,lambda
lambdm,lambda
lambdw,lambda
lammbda,lambda
laMbda,lambda
lajbda,lambda
lambca,lambda
lambbda,lambda
lamBda,lambda
lakbda,lambda
lamdba,lambda
lazmbda,lambda
bamlda,lambda
malbda,lambda
lamda,lambda
ldmbaa,lambda
Lambda,lambda
lanbda,lambda
laqmbda,lambda
labmda,lambda
labbda,lambda
lamvda,lambda
flambda,lambda
lamadb,lambda
glObal,global
globl,global
blogal,global
ylobal,global
glopal,global
globql,global
gobal,global
gglobal,global
gllobal,global
globzl,global
glocal,global
globaql,global
globaf,global
gloal,global
gloobal,global
nlobal,global
globaL,global
alobgl,global
ghlobal,global
glonal,global
gylobal,global
gkobal,global
globaln,global
globaal,global
gLobal,global
hglobal,global
glogal,global
Global,global
globat,global
goobal,global
glibal,global
kglobal,global
gloBal,global
gtlobal,global
globall,global
lgobal,global
glohal,global
gloval,global
glboal,global
glpbal,global
novlocal,nonlocal
nonkocal,nonlocal
nonlpcal,nonlocal
nonllcal,nonlocal
noncolal,nonlocal
nonloocal,nonlocal
nollocal,nonlocal
bonlocal,nonlocal
nonlkcal,nonlocal
noonlocal,nonlocal
nolnocal,nonlocal
nonlocaal,nonlocal
nonloCal,nonlocal
nonhlocal,nonlocal
noNlocal,nonlocal
nonlocawl,nonlocal
nonlolac,nonlocal
nonlocasl,nonlocal
nnlocal,nonlocal
nonlpocal,nonlocal
nonloal,nonlocal
npnlocal,nonlocal
nonlxcal,nonlocal
nonnlocal,nonlocal
uonlocal,nonlocal
nonlocla,nonlocal
nonlccal,nonlocal
nonolcal,nonlocal
onlocal,nonlocal
nOnlocal,nonlocal
nonocal,nonlocal
nonLocal,nonlocal
nonlozal,nonlocal
nonloacl,nonlocal
nonlocaL,nonlocal
nonlocalc,nonlocal
nanlocol,nonlocal
nonlocdal,nonlocal
nonlocAl,nonlocal
ponlocal,nonlocal
passs,pass
pasS,pass
passk,pass
pazs,pass
pas,pass
pans,pass
psas,pass
kpass,pass
pasz,pass
passf,pass
ppass,pass
pasj,pass
sasp,pass
pqss,pass
paqss,pass
pasw,pass
pssa,pass
poass,pass
phss,pass
passz,pass
mpass,pass
passy,pass
pss,pass
ass,pass
pAss,pass
pase,pass
passc,pass
pasas,pass
pzss,pass
paSs,pass
pazss,pass
apss,pass
pats,pass
psss,pass
passt,pass
pfss,pass
saps,pass
pasds,pass
Pass,pass
paass,pass
raesi,raise
rtaise,raise
rais,raise
rpise,raise
raisee,raise
eaise,raise
rAise,raise
rasie,raise
rqise,raise
saire,raise
paise,raise
raIse,raise
raises,raise
raine,raise
raiss,raise
raisse,raise
raisE,raise
raize,raise
eaisr,raise
raiSe,raise
traise,raise
raiuse,raise
faise,raise
raiswe,raise
naise,raise
raie,raise
reise,raise
riase,raise
rase,raise
arise,raise
rasse,raise
raies,raise
vaise,raise
razse,raise
rsise,raise
aise,raise
rdaise,raise
iarse,raise
Raise,raise
raiser,raise
yieldr,yield
yisld,yield
yeild,yield
yirld,yield
yielk,yield
yieldf,yield
yieeld,yield
yielf,yield
yoeld,yield
yielv,yield
yiled,yield
yeld,yield
yiield,yield
yielod,yield
yceld,yield
yielld,yield
yivld,yield
yleid,yield
ield,yield
iyeld,yield
yielpd,yield
yild,yield
ytield,yield
yyield,yield
yieod,yield
yiEld,yield
yieyd,yield
yields,yield
lieyd,yield
yieldc,yield
yiel,yield
syield,yield
yIeld,yield
hield,yield
yidld,yield
yiewld,yield
yieLd,yield
Yield,yield
yiedl,yield
yueld,yield
aessrt,assert
assret,assert
asstre,assert
oassert,assert
asseut,assert
asseot,assert
assetr,assert
asseret,assert
asser,assert
assery,assert
asserc,assert
aSsert,assert
assrrt,assert
asseRt,assert
aswsert,assert
dssert,assert
asesrt,assert
Assert,assert
assErt,assert
assertr,assert
afsert,assert
assertf,assert
aassert,assert
asert,assert
asserrt,assert
azssert,assert
qssert,assert
asseert,assert
asset,assert
jassert,assert
atsers,assert
asszert,assert
assart,assert
tssera,assert
asserT,assert
asssert,assert
asasert,assert
assertt,assert
asswrt,assert
asrest,assert
asynd,async
asyncx,async
nsyac,async
asymc,async
asYnc,async
wsync,async
asydc,async
asyn,async
asyjc,async
aysnc,async
asynC,async
saync,async
Async,async
asdync,async
ysanc,async
asycn,async
fsync,async
csyna,async
axync,async
aaync,async
ashnc,async
ssync,async
aync,async
asyc,async
asyync,async
gasync,async
asygc,async
asxync,async
asnyc,async
ascny,async
aSync,async
qasync,async
asyni,async
assync,async
aeync,async
asyunc,async
asnc,async
azsync,async
ahync,async
asyic,async
awaitz,await
asait,await
awaik,await
awai,await
awajt,await
awaif,await
sawait,await
awaitv,await
uwait,await
avait,await
adait,await
azwait,await
bawait,await
iawait,await
awaitn,await
waait,await
aawit,await
qwait,await
awaitq,await
twaia,await
aqait,await
awat,await
awaiT,await
zwait,await
awaIt,await
awwait,await
wait,await
aWait,await
aweait,await
awaait,await
awamt,await
awain,await
awaitt,await
Await,await
awakt,await
awati,await
awnit,await
awit,await
awiat,await
aawait,await
dle,del
drl,del
dewl,del
dey,del
kdel,del
deel,del
dal,del
wel,del
de,del
Del,del
dl,del
ddl,del
led,del
derl,del
dell,del
eel,del
dll,del
dml,del
qel,del
dem,del
drel,del
ddel,del
dwl,del
dep,del
delk,del
xel,del
dec,del
el,del
ael,del
edl,del
fel,del
deq,del
kel,del
delp,del
dEl,del
sel,del
deo,del
deL,del
dedl,del
dsl,del
