typo,correct
retirn,return
retrun,return
returnj,return
retturn,return
weturn,return
rerurn,return
regurn,return
reTurn,return
retunr,return
prihtf,printf
priintf,printf
prjntf,printf
printyf,printf
printft,printf
pringf,printf
prirtf,printf
priontf,printf
prnitf,printf
rintf,printf
plrintf,printf
prinft,printf
pintf,printf
pirntf,printf
orintf,printf
pritnf,printf
prntf,printf
prinff,printf
printtf,printf
printg,printf
prikntf,printf
pRintf,printf
printfz,printf
printb,printf
pdintf,printf
prinf,printf
prfnti,printf
printff,printf
pritf,printf
prinzf,printf
frintp,printf
pfintf,printf
rpintf,printf
prinxf,printf
Printf,printf
pyintf,printf
prinntf,printf
pprintf,printf
print,printf
priNtf,printf
scanF,scanf
nscanf,scanf
sscanf,scanf
dscanf,scanf
gcanf,scanf
sCanf,scanf
fscanf,scanf
sfanc,scanf
scafn,scanf
scaanf,scanf
wcanf,scanf
scnaf,scanf
scasnf,scanf
mcanf,scanf
sanf,scanf
scaf,scanf
scanfv,scanf
scanfr,scanf
acsnf,scanf
scanjf,scanf
scfna,scanf
scsnf,scanf
sacnf,scanf
scannf,scanf
sacanf,scanf
scanv,scanf
scabf,scanf
scann,scanf
sccanf,scanf
scaNf,scanf
ncasf,scanf
svanf,scanf
scinf,scanf
scnf,scanf
hscanf,scanf
csanf,scanf
scaff,scanf
secanf,scanf
scahf,scanf
scan,scanf
incluude,include
incldue,include
incflude,include
inclpude,include
incllude,include
includet,include
inclue,include
inclide,include
incpude,include
iNclude,include
inculde,include
inclUde,include
incLude,include
inclfde,include
innclude,include
yinclude,include
icnlude,include
inlude,include
incluDe,include
ionclude,include
incljde,include
inclued,include
vnclude,include
injclude,include
inclde,include
includE,include
incdule,include
includr,include
includce,include
niclude,include
incluce,include
iinclude,include
ijnclude,include
incyude,include
Include,include
includee,include
includde,include
incluide,include
incsude,include
iclude,include
defnie,define
defien,define
dfeine,define
dehine,define
defdne,define
ddefine,define
derine,define
dufine,define
decine,define
desfine,define
defIne,define
definel,define
dnfiee,define
defhne,define
defint,define
defiNe,define
deefine,define
dEfine,define
defrne,define
defije,define
eefine,define
deine,define
edfine,define
defibe,define
dwfine,define
efine,define
defiine,define
definee,define
definne,define
deeinf,define
defins,define
defijne,define
defkne,define
defineq,define
dfine,define
deifne,define
deffine,define
dewfine,define
defin,define
definer,define
vchar,char
rhac,char
chAr,char
chqr,char
fhar,char
cHar,char
chr,char
cyar,char
cdhar,char
cear,char
chad,char
chra,char
har,char
chsr,char
chhar,char
dhar,char
cfhar,char
cnar,char
ahcr,char
hcar,char
chaar,char
chbar,char
vhar,char
chasr,char
cqar,char
cxhar,char
chazr,char
cchar,char
chaqr,char
chgar,char
chaR,char
bhar,char
cha,char
cahr,char
chjar,char
chare,char
charr,char
cgar,char
cuar,char
chaf,char
voif,void
vdio,void
voidc,void
voidd,void
ovid,void
voi,void
vcoid,void
vod,void
vid,void
viid,void
voiod,void
oid,void
voidx,void
voikd,void
vvoid,void
vosd,void
vodi,void
goid,void
voiud,void
foid,void
Void,void
iovd,void
vOid,void
vopid,void
voiD,void
vboid,void
vmid,void
vokid,void
doiv,void
voId,void
vdid,void
vkid,void
voir,void
cvoid,void
ovoid,void
voidr,void
vooid,void
vokd,void
vois,void
viod,void
pain,main
maIn,main
mazin,main
mrin,main
gmain,main
min,main
mnia,main
lain,main
maiun,main
maiin,main
maiN,main
maid,main
mian,main
amin,main
kain,main
maun,main
mAin,main
naim,main
mmain,main
mai,main
jain,main
maia,main
maih,main
mkain,main
man,main
maim,main
hain,main
mzin,main
iamn,main
mainb,main
maijn,main
Main,main
mani,main
mwin,main
maikn,main
ain,main
umain,main
mjain,main
pmain,main
mainn,main
swith,switch
switcz,switch
swirch,switch
switc,switch
switsh,switch
siwtch,switch
swotch,switch
sswitch,switch
switmh,switch
swittch,switch
switcH,switch
swItch,switch
switCh,switch
snitch,switch
twisch,switch
wsitch,switch
switchh,switch
vswitch,switch
swicth,switch
sawitch,switch
sWitch,switch
iwstch,switch
saitch,switch
swtich,switch
switcj,switch
swiotch,switch
swtch,switch
switvh,switch
switcq,switch
sitch,switch
swhtci,switch
bswitch,switch
switbh,switch
witch,switch
aswitch,switch
swwitch,switch
scitch,switch
stitch,switch
Switch,switch
swithc,switch
casei,case
casq,case
cesa,case
casm,case
wcase,case
cas,case
casw,case
cxase,case
ase,case
vase,case
czse,case
caes,case
casee,case
sace,case
gase,case
csae,case
caae,case
cfase,case
cazse,case
caase,case
cae,case
cale,case
cAse,case
cse,case
easc,case
cjse,case
casE,case
acse,case
casse,case
casd,case
cases,case
cbse,case
rase,case
casn,case
ccase,case
Case,case
casr,case
cased,case
care,case
caSe,case
rbeak,break
breka,break
breako,break
beak,break
brwak,break
brEak,break
bfeak,break
kreab,break
breeak,break
bxeak,break
bhreak,break
brkae,break
bremk,break
breek,break
breask,break
vreak,break
creak,break
Break,break
brea,break
nreak,break
brzak,break
brek,break
breakv,break
breaz,break
bresk,break
bvreak,break
breaj,break
berak,break
breat,break
brhak,break
brreak,break
breaK,break
breAk,break
breal,break
bkear,break
breakk,break
bteak,break
bresak,break
breaak,break
brdeak,break
mallocv,malloc
mazlloc,malloc
mallox,malloc
callom,malloc
mallo,malloc
mallco,malloc
mwlloc,malloc
mallocx,malloc
malloC,malloc
malllc,malloc
imalloc,malloc
maloc,malloc
mallc,malloc
nalloc,malloc
mallOc,malloc
maclol,malloc
balloc,malloc
malolc,malloc
maploc,malloc
mallloc,malloc
mallkoc,malloc
mallkc,malloc
mallpoc,malloc
maalloc,malloc
mawlloc,malloc
mqlloc,malloc
mallxc,malloc
mAlloc,malloc
mnalloc,malloc
malcol,malloc
mallcc,malloc
alloc,malloc
mlloc,malloc
mauloc,malloc
malboc,malloc
amlloc,malloc
malpoc,malloc
maoloc,malloc
mlaloc,malloc
mailoc,malloc
ree,free
frew,free
freem,free
cree,free
freb,free
frse,free
freed,free
fgree,free
feer,free
ffee,free
freet,free
freee,free
frie,free
vree,free
fere,free
frpe,free
rfee,free
frer,free
fref,free
feee,free
freer,free
fres,free
ffree,free
ftree,free
rree,free
eref,free
tree,free
oree,free
frEe,free
sfree,free
frewe,free
frwe,free
fre,free
freE,free
frre,free
freel,free
freeb,free
fee,free
Free,free
frez,free
ssizeof,sizeof
siaeof,sizeof
sizeeof,sizeof
sizeoo,sizeof
sizwof,sizeof
sizEof,sizeof
eizsof,sizeof
sizelf,sizeof
sizoef,sizeof
siezof,sizeof
sizeyf,sizeof
sizewf,sizeof
siozeof,sizeof
sizof,sizeof
sizyof,sizeof
sizecf,sizeof
szizeof,sizeof
sizeofv,sizeof
sioezf,sizeof
sizaeof,sizeof
sizeot,sizeof
sizeofc,sizeof
saizeof,sizeof
oizesf,sizeof
sizeog,sizeof
bizeof,sizeof
sizdof,sizeof
sizeo,sizeof
sizedof,sizeof
iszeof,sizeof
sizeoff,sizeof
sizeor,sizeof
szzeof,sizeof
sizeqf,sizeof
Sizeof,sizeof
siZeof,sizeof
sIzeof,sizeof
wizeof,sizeof
sieof,sizeof
sizef,sizeof
strucg,struct
strcut,struct
ttrucs,struct
strujct,struct
sruct,struct
strtcu,struct
dstruct,struct
sttucr,struct
strucT,struct
strUct,struct
struc,struct
structt,struct
scrutt,struct
ctrust,struct
srtuct,struct
strucr,struct
stRuct,struct
strct,struct
strucv,struct
strucb,struct
structg,struct
stuct,struct
strucxt,struct
strutc,struct
struca,struct
tsruct,struct
sstruct,struct
structs,struct
sturct,struct
strucdt,struct
strfuct,struct
structd,struct
strucf,struct
strruct,struct
sttruct,struct
syruct,struct
struCt,struct
truct,struct
ctruct,struct
stfruct,struct
typdef,typedef
yypedef,typedef
tfpedey,typedef
tyledef,typedef
typeddef,typedef
typewef,typedef
rypedef,typedef
typedsef,typedef
typddef,typedef
typewdef,typedef
typoedef,typedef
typEdef,typedef
typsdef,typedef
tyedef,typedef
tygpedef,typedef
tfypedef,typedef
ypedef,typedef
itypedef,typedef
trypedef,typedef
tspedef,typedef
tpyedef,typedef
typeDef,typedef
typpedef,typedef
tyPedef,typedef
typeedf,typedef
ytpedef,typedef
typedet,typedef
tgypedef,typedef
typeref,typedef
typedfe,typedef
typedeff,typedef
typledef,typedef
typfdee,typedef
typeef,typedef
typeedef,typedef
typedefg,typedef
tapedef,typedef
typede,typedef
tmpedef,typedef
tyepdef,typedef
ddouble,double
dobule,double
doubLe,double
dohble,double
doublke,double
ouble,double
dkuble,double
doble,double
doouble,double
doubee,double
doublpe,double
deouble,double
douuble,double
doubl,double
dxouble,double
doubgle,double
doubls,double
dxuble,double
dluboe,double
duoble,double
loubde,double
doublw,double
doublE,double
dojble,double
douile,double
dOuble,double
diuble,double
touble,double
doublle,double
dbuole,double
dolbue,double
dounle,double
xouble,double
oduble,double
doubloe,double
souble,double
doule,double
couble,double
doutle,double
doUble,double
longg,long
ong,long
flong,long
Long,long
ldng,long
lobg,long
nolg,long
lng,long
llong,long
lonf,long
lhng,long
loing,long
logn,long
oong,long
loong,long
lonng,long
lohg,long
lonhg,long
lwng,long
lolng,long
longt,long
olng,long
lkng,long
lopng,long
loog,long
pong,long
log,long
lon,long
lnog,long
llng,long
ling,long
lojg,long
kong,long
lgno,long
gonl,long
lmng,long
lOng,long
lonbg,long
loNg,long
lonh,long
dhort,short
kshort,short
shoet,short
sgort,short
storh,short
shot,short
hsort,short
shor,short
shorty,short
shkrt,short
shhort,short
Short,short
shortt,short
shoprt,short
sohrt,short
shrt,short
hort,short
ohsrt,short
shlrt,short
shrot,short
sHort,short
thors,short
shorr,short
shfrt,short
shott,short
swhort,short
seort,short
shvrt,short
shtro,short
shert,short
shorT,short
sroht,short
shorf,short
shoort,short
shorrt,short
sort,short
sdhort,short
suort,short
ishort,short
shotr,short
unsinged,unsigned
unsignrd,unsigned
uzsigned,unsigned
junsigned,unsigned
unsignhd,unsigned
ucsigned,unsigned
uunsigned,unsigned
unsignerd,unsigned
uNsigned,unsigned
unsigend,unsigned
unjsigned,unsigned
unsdgnei,unsigned
unsIgned,unsigned
usnigned,unsigned
unigned,unsigned
insugned,unsigned
unsigmed,unsigned
gnsiuned,unsigned
unsignned,unsigned
uhsigned,unsigned
uusigned,unsigned
ujnsigned,unsigned
unnigsed,unsigned
usigned,unsigned
nusigned,unsigned
ounsigned,unsigned
unsgined,unsigned
unsgned,unsigned
unsigneb,unsigned
uhnsigned,unsigned
unsigyned,unsigned
undignes,unsigned
unisgned,unsigned
unsiigned,unsigned
unsigneD,unsigned
ugsigned,unsigned
unsigNed,unsigned
unssigned,unsigned
unsegnid,unsigned
unsignd,unsigned
constt,const
cosst,const
connst,const
cdonst,const
cconst,const
coxst,const
colnst,const
fonst,const
csnot,const
cnost,const
nocst,const
xonst,const
conwt,const
conso,const
coyst,const
rconst,const
consf,const
Const,const
ocnst,const
zconst,const
cost,const
conmst,const
cotsn,const
consn,const
cnst,const
cont,const
coonst,const
cxonst,const
consg,const
conSt,const
constr,const
econst,const
conts,const
cosnt,const
consT,const
onst,const
conlt,const
cojst,const
coNst,const
conet,const
siatic,static
statgic,static
otatic,static
statkc,static
staticf,static
satic,static
itatsc,static
swtatic,static
stattic,static
stastic,static
ststic,static
stgatic,static
skatic,static
sattic,static
statfic,static
stafic,static
staitc,static
stwtic,static
sbatic,static
staticc,static
stati,static
sttaic,static
wtatic,static
statict,static
stajic,static
staatic,static
tsatic,static
statiic,static
styatic,static
staticx,static
Static,static
staTic,static
stztic,static
statix,static
sstatic,static
stativ,static
staticd,static
statuc,static
ustatic,static
etatic,static
sxtern,extern
enterx,extern
etern,extern
etxern,extern
extren,extern
exteern,extern
exterh,extern
lxtern,extern
exterN,extern
edxtern,extern
extexn,extern
exterz,extern
exretn,extern
exTern,extern
extedrn,extern
erxtern,extern
edtern,extern
exnert,extern
externm,extern
exoern,extern
esxtern,extern
extenr,extern
exteun,extern
exttern,extern
exteRn,extern
Extern,extern
extrn,extern
extdrn,extern
xetern,extern
ewxtern,extern
wxtern,extern
ectern,extern
eetxrn,extern
xtern,extern
exterl,extern
dextern,extern
exztern,extern
eXtern,extern
extetn,extern
externn,extern
NdLL,NULL
NbLL,NULL
LULN,NULL
NtLL,NULL
NUULL,NULL
NLLU,NULL
NNULL,NULL
NULLP,NULL
NBULL,NULL
NLUL,NULL
NULLd,NULL
NULLv,NULL
NULP,NULL
NUKL,NULL
wULL,NULL
NUyL,NULL
NULLL,NULL
BULL,NULL
NULLp,NULL
NUlL,NULL
nNULL,NULL
nULL,NULL
pNULL,NULL
HULL,NULL
NULLc,NULL
NYLL,NULL
NULLK,NULL
NuLL,NULL
NJULL,NULL
yNULL,NULL
NwLL,NULL
NzLL,NULL
NULKL,NULL
ULL,NULL
NULl,NULL
bNULL,NULL
LUNL,NULL
UNLL,NULL
NmLL,NULL
NULLl,NULL
